image,text
images/000324.png,铁桥生锈
images/000073.png,地球和太阳
images/000314.png,酸雨会破坏森林
images/000378.png,乙烯与溴反应
images/000214.png,螺旋测微器
images/000184.png,聚丙烯制成的管道
images/000149.png,环境监测车
images/000119.png,光导纤维
images/000009.png,DNA复制的示意图
images/000393.png,原电池实验
images/000101.png,范德格拉夫起电机示意图
images/000146.png,化学反应吸热使烧杯与木片间的水凝结成冰
images/000336.png,吴健雄在实验中
images/000241.png,脲醛塑料制成的电器开关
images/000383.png,硬铝常用于制造飞机的外壳
images/000024.png,氨溶于水的喷泉实验
images/000220.png,玫瑰葡萄
images/000252.png,普通棉
images/000201.png,锂离子电池
images/000245.png,农业社会人
images/000128.png,海豹
images/000350.png,向FeCl2溶液中滴入KSCN溶液
images/000227.png,摩擦力测试
images/000062.png,待喷漆的汽车
images/000020.png,NaCl的形成示意图
images/000014.png,Fe2O3可作外墙涂料
images/000150.png,蝗虫产卵
images/000382.png,萤火虫
images/000164.png,减数分裂Ⅰ中期
images/000340.png,洗衣机
images/000335.png,无人机
images/000262.png,切割钠
images/000287.png,施莱登
images/000292.png,石油加工及产品用途示意图
images/000299.png,试验物质的导电性
images/000331.png,我国科学家合成的酿酒酵母染色体模型
images/000276.png,容量瓶
images/000110.png,高铁
images/000327.png,微波炉
images/000400.png,战国时期的铁器——铁火盆
images/000084.png,吊灯所受拉力示意图
images/000202.png,锂离子电池组
images/000250.png,葡萄糖的银镜反应
images/000141.png,胡克时代的显微镜
images/000363.png,血红素分子
images/000069.png,蛋白质外壳
images/000055.png,催化转化器
images/000265.png,秋千
images/000028.png,斑驴兽
images/000346.png,下水井盖是由生铁铸造的
images/000090.png,二 次 沉 淀 池
images/000396.png,月球上的脚印
images/000206.png,辽宁古果化石标本
images/000082.png,电子显微镜下放大30万倍的碳纳米管
images/000126.png,过山车
images/000120.png,光束通过溶液和胶体时的现象
images/000316.png,锁和钥匙
images/000293.png,时钟
images/000322.png,铁粉与水蒸气反应
images/000364.png,血浆、组织液、淋巴液之间的关系示意图
images/000388.png,用台盼蓝染液染色后的死细胞和活细胞
images/000068.png,蛋白质的变性
images/000228.png,摩天轮
images/000361.png,许智宏
images/000415.png,自由落体运动的实验装置
images/000300.png,噬菌体侵染细菌
images/000147.png,化学科研工作者
images/000354.png,向着光源生长的植物
images/000392.png,宇航员返航
images/000089.png,短跑赛场
images/000051.png,储藏细胞
images/000283.png,神经系统基本结构示意图
images/000249.png,喷气式飞机的发动机叶片
images/000286.png,狮虎兽
images/000175.png,金属氧化物可以使玻璃呈现不同的颜色
images/000123.png,硅太阳能电池
images/000200.png,梨
images/000247.png,浓硫酸与蔗糖反应
images/000263.png,氢氧燃料电池汽车
images/000102.png,飞驰的列车
images/000034.png,变形虫的胞吞和胞吐示意图
images/000343.png,细胞膜结构的电镜照片
images/000186.png,聚四氟乙烯制成的实验仪器
images/000288.png,施旺
images/000398.png,运动员踢足球
images/000255.png,曝气池
images/000243.png,牛奶变质
images/000273.png,人染色体的扫描电镜照片
images/000365.png,研究平抛运动的竖直分运动
images/000349.png,线粒体的电镜照片
images/000112.png,高压线屏蔽
images/000375.png,乙酸的分子结构模型
images/000029.png,半导体芯片
images/000385.png,用pH计测量水样的酸度
images/000397.png,陨铁
images/000165.png,减数分裂Ⅱ后期
images/000326.png,图书馆中分类陈列的图书
images/000215.png,绿色植物的光合作用
images/000192.png,空间站
images/000218.png,满头白发的老人
images/000374.png,乙醇与钠反应
images/000081.png,电子点火器
images/000113.png,格栅间
images/000401.png,长江三峡大坝
images/000045.png,超轻海绵
images/000295.png,食品包装中的脱氧剂
images/000274.png,人体泌尿系统结构模式图
images/000093.png,发出绿色荧光的水母
images/000384.png,用C60作车轮的“纳米汽车
images/000211.png,柳穿鱼的花
images/000023.png,爱因斯坦
images/000074.png,电池研发人员正在进行电池性能测试
images/000021.png,T2噬菌体的模式图
images/000411.png,转基因鲤鱼（右）
images/000127.png,哈雷彗星
images/000159.png,尖端放电
images/000410.png,智能机器人正在对快递物品进行分拣
images/000360.png,秀丽隐杆线虫
